DATE,USD3MTD156N
2019-01-28,2.7505
2019-01-29,2.74438
2019-01-30,2.73625
2019-01-31,2.7375
2019-02-01,2.73263
2019-02-04,2.73438
2019-02-05,2.7385
2019-02-06,2.73763
2019-02-07,2.697
2019-02-08,2.69775
2019-02-11,2.688
2019-02-12,2.69288
2019-02-13,2.68375
2019-02-14,2.69388
2019-02-15,2.68288
2019-02-18,2.64363
2019-02-19,2.64125
2019-02-20,2.66338
2019-02-21,2.651
2019-02-22,2.64625
2019-02-25,2.63863
2019-02-26,2.62888
2019-02-27,2.62613
2019-02-28,2.61513
2019-03-01,2.5985
2019-03-04,2.60763
2019-03-05,2.60663
2019-03-06,2.5945
2019-03-07,2.60063
2019-03-08,2.59663
2019-03-11,2.60825
2019-03-12,2.59325
2019-03-13,2.61088
2019-03-14,2.61463
2019-03-15,2.62525
2019-03-18,2.63263
2019-03-19,2.61275
2019-03-20,2.607
2019-03-21,2.6015
2019-03-22,2.60988
2019-03-25,2.60875
2019-03-26,2.59738
2019-03-27,2.601
2019-03-28,2.59175
2019-03-29,2.59975
2019-04-01,2.5955
2019-04-02,2.60238
2019-04-03,2.59775
2019-04-04,2.58863
2019-04-05,2.59213
2019-04-08,2.584
2019-04-09,2.58125
2019-04-10,2.6035
2019-04-11,2.59675
2019-04-12,2.601
2019-04-15,2.588
2019-04-16,2.60088
2019-04-17,2.5915
2019-04-18,2.58113
2019-04-19,.
2019-04-22,.
2019-04-23,2.58025
2019-04-24,2.58638
2019-04-25,2.58238
2019-04-26,2.58275
2019-04-29,2.579
2019-04-30,2.57563
2019-05-01,2.5755
2019-05-02,2.56513
2019-05-03,2.55988
2019-05-06,.
2019-05-07,2.562
2019-05-08,2.54513
2019-05-09,2.53525
2019-05-10,2.52788
2019-05-13,2.518
2019-05-14,2.5245
2019-05-15,2.52513
2019-05-16,2.51963
2019-05-17,2.52188
2019-05-20,2.52338
2019-05-21,2.5235
2019-05-22,2.52475
2019-05-23,2.52063
2019-05-24,2.52488
2019-05-27,.
2019-05-28,2.52375
2019-05-29,2.52175
2019-05-30,2.52025
2019-05-31,2.5025
2019-06-03,2.4785
2019-06-04,2.47438
2019-06-05,2.47163
2019-06-06,2.453
2019-06-07,2.45063
2019-06-10,2.43575
2019-06-11,2.4495
2019-06-12,2.42788
2019-06-13,2.41025
2019-06-14,2.402
2019-06-17,2.4185
2019-06-18,2.38663
